session_id,mode,round_1_conflicts,round_2_conflicts_remaining,round_3_conflicts_remaining,final_conflicts,converged_round
0bb4f0b6-d845-4685-b4c2-d3b2da65e7af,full,2,2,1,2,
5025231a-38c9-4b1e-9ab1-0acd9418d9c1,baseline,2,2,2,2,
57fa9f5b-67ba-463d-86e3-85acd22b2df8,full,0,0,0,0,1
33ca572d-87fd-416d-9be3-433860e6da45,baseline,0,0,0,0,1
bcf75914-61d1-46e9-9945-65cf3f9e7b0c,full,1,1,1,1,
c422d208-d3df-4cc6-b656-7d70fb767716,baseline,1,1,1,1,
d25bd89c-1bb9-49c6-8eef-e00dac0d1bfe,full,1,1,0,1,3
721e8bac-04cb-4904-8351-69f7f456bf7e,baseline,1,1,1,1,
c4e9438e-cd0d-481c-acf8-2734c202aac8,full,3,2,2,3,
26db33d2-3f5f-4c46-9718-0e8f28399c09,baseline,1,1,1,1,
55e63310-4580-4052-941e-70f729814a63,full,2,2,2,2,
80f66b18-f2b4-4d4a-93e0-3e06c395e5d0,baseline,2,2,2,2,
d8455ff5-4e9f-4374-87c3-3c6c2e721ea5,full,1,1,1,1,
605bb0b7-2d71-4fc6-a702-5132103df749,baseline,1,1,1,1,
3adf34d0-b466-4bb9-8547-4d1c74f27509,full,2,2,1,2,
6470fcad-d0f3-4dc7-ac4b-7c3edac6c653,baseline,2,2,2,2,
b612c5ad-88bc-479d-b257-0bf5233c6ed9,full,0,0,0,0,1
0ccc1547-7e5e-4297-9234-794833a829c4,baseline,0,0,0,0,1
81fd0438-ef23-4782-b883-26df0f6e4cee,full,2,2,2,2,
3ade0759-3b1e-40bd-9ae2-62479c0957f4,baseline,2,2,2,2,
