session_id,mode,round_1_conflicts,round_2_conflicts_remaining,round_3_conflicts_remaining,final_conflicts,converged_round
e6ebab76-d2c4-47d6-aa38-31a68d03bfb7,full,2,2,1,2,
b2f65c08-92d4-4f7f-90dc-bfd9bd88a64d,baseline,2,2,2,2,
6a63d76b-8dfe-4e79-9e49-55456c714f03,full,0,0,0,0,1
71aae538-4790-459d-b1d9-cde9c1ae8e56,baseline,0,0,0,0,1
fccb5df0-bad7-4b71-913d-8d31ce73f916,full,1,1,1,1,
2f392487-df85-47ba-90aa-229c25d69dd2,baseline,1,1,1,1,
cae34f39-b4c2-44f0-ace9-719bc76b30dd,full,1,1,1,1,
05aae17b-a474-471c-9029-dfb72c97437e,baseline,1,1,1,1,
284e4aa1-c748-46ef-a025-12afc8464c3e,full,2,2,2,3,
10f24c6b-b297-48ef-a677-906fca84cbd0,baseline,2,2,2,2,
836d278e-64fb-4880-a896-d8b6bee7ca0a,full,2,2,1,2,
40438231-9106-4f15-abca-152f2b01497c,baseline,2,2,2,2,
e864235b-4d9f-48e7-84da-838898410858,full,1,1,1,1,
37b203a3-8482-4333-8eff-e15b26f45631,baseline,1,1,1,1,
2f0f3fbe-2527-4b46-8fba-0b8d13e388e8,full,2,2,1,2,
c814324f-8c0e-44a7-80f2-ba9c903e8eed,baseline,2,2,2,2,
3085c23d-7496-4106-841c-fab3681b6192,full,0,0,0,0,1
5d582d54-b790-4447-b2cb-c6fe6bf3ddee,baseline,0,0,0,0,1
1205717a-2b5c-472a-9f35-40c6cd990fb8,full,2,2,1,2,
a1e8bb9f-d972-4939-af16-9034f82a5a31,baseline,2,2,2,2,
6b260604-1b82-451c-b6e6-5e474ed0dea4,full,2,2,2,2,
5c0dd3e0-6e17-46b7-bc05-925de4028103,baseline,2,2,2,2,
22ece2e0-ff5e-480a-9aaa-017b028121cf,full,1,0,0,0,2
f5fc7074-3ac1-4c97-aa76-f6fafbb6f93c,baseline,1,1,1,1,
